,Rank,Coin,Price,Market Cap,Volume 24h,Liquidity Â±2%,All-time High,1h,24h,Weekly
0,1,"BTC
                  


                  Bitcoin","$
              
              42281.86",$796.15 B,$18.80 B,$1.4031 B,$64763.29,0.26%,0.32%,
1,2,"ETH
                  


                  Ethereum","$
              
              2929.33",$344.85 B,$12.54 B,$868.85 M,$4391.29,0.12%,0.04%,
2,3,"USDT
                  


                  Tether","$
              
              1.00",$69.479 B,$47.56 B,$1.9990 B,$1.05,0.01%,0.11%,
3,4,"ADA
                  


                  Cardano","$
              
              2.13",$68.164 B,$2.299 B,$99.266 M,$3.09,0.3%,0.4%,
4,5,"BNB
                  


                  Binance Coin","$
              
              373.52",$62.802 B,$2.199 B,$101.39 M,$691.56,1.23%,9.05%,
5,6,"XRP
                  


                  XRP","$
              
              0.933191",$43.627 B,$1.736 B,$151.32 M,$3.92,0.26%,1.94%,
6,7,"SOL
                  


                  Solana","$
              
              138.41",$39.627 B,$2.767 B,$56.623 M,$214.49,0.12%,2.27%,
7,8,"USDC
                  


                  USD Coin","$
              
              1.00",$31.273 B,$1.828 B,$235.08 M,$1.09,0.03%,0.09%,
8,9,"DOT
                  


                  Polkadot","$
              
              28.27",$29.183 B,$1.066 B,$45.731 M,$49.69,0.3%,1.22%,
9,10,"DOGE
                  


                  Dogecoin","$
              
              0.201649",$26.514 B,$465.1 M,$54.884 M,$0.737171,0.07%,0.08%,
10,11,"UNI
                  


                  Uniswap","$
              
              23.82",$14.912 B,$912.0 M,$31.182 M,$45.01,0.14%,2.98%,
11,12,"AVAX
                  


                  Avalanche","$
              
              65.69",$14.472 B,$834.2 M,$11.075 M,$79.41,1.16%,2.3%,
12,13,"LUNA
                  


                  Terra","$
              
              35.58",$14.223 B,$1.335 B,$49.527 M,$44.02,0.62%,0.18%,
13,14,"BUSD
                  


                  Binance USD","$
              
              1.01",$13.720 B,$2.763 B,$257.13 M,$1.25,0.26%,0.39%,
14,15,"LINK
                  


                  Chainlink","$
              
              23.68",$10.775 B,$840.3 M,$70.437 M,$52.85,0.35%,0.06%,
15,16,"LTC
                  


                  Litecoin","$
              
              148.26",$10.176 B,$1.235 B,$142.05 M,$413.08,0.17%,0.55%,
16,17,"ALGO
                  


                  Algorand","$
              
              1.66",$9.8653 B,$439.4 M,$18.566 M,$3.23,1.11%,0.73%,
17,18,"BCH
                  


                  Bitcoin Cash","$
              
              493.32",$9.3034 B,$617.6 M,$108.20 M,$4355.62,0.1%,0.74%,
18,19,"ATOM
                  


                  Cosmos","$
              
              35.72",$8.5199 B,$1.085 B,$34.705 M,$44.48,1.41%,4.42%,
19,20,"MATIC
                  


                  Polygon","$
              
              1.10",$7.3500 B,$330.2 M,$27.748 M,$2.65,0.19%,1.49%,
20,21,"ICP
                  


                  Internet Computer","$
              
              44.06",$7.3312 B,$100.7 M,$5.8698 M,$494.56,0.36%,1.74%,
21,22,"XLM
                  


                  Stellar","$
              
              0.270710",$6.4302 B,$256.4 M,$38.616 M,$0.921644,0.32%,1.66%,
22,23,"FIL
                  


                  Filecoin","$
              
              58.22",$6.3877 B,$819.3 M,$19.246 M,$237.65,0.62%,0.28%,
23,24,"TRX
                  


                  TRON","$
              
              0.087234",$6.2512 B,$904.0 M,$61.757 M,$0.294743,0.11%,1.71%,
24,25,"FTT
                  


                  FTX Token","$
              
              51.72",$6.2348 B,$598.9 M,$29.673 M,$83.82,0.14%,0.9%,
25,26,"ETC
                  


                  Ethereum Classic","$
              
              46.17",$6.0184 B,$588.1 M,$30.883 M,$168.98,0.41%,1.32%,
26,27,"VET
                  


                  VeChain","$
              
              0.086896",$5.8013 B,$265.7 M,$15.684 M,$0.267737,0.2%,0.8%,
27,28,"XTZ
                  


                  Tezos","$
              
              5.93",$5.1086 B,$426.7 M,$24.324 M,$8.20,0.38%,3.3%,
28,29,"WBTC
                  


                  Wrapped Bitcoin","$
              
              42332.29",$5.0071 B,$378.0 M,$62.224 M,$64915.57,0.15%,0.2%,
29,30,"XEC
                  


                  eCash","$
              
              0.000264",$4.9721 B,$253.8 M,$2.4427 M,$0.000381,0.6%,8.19%,
30,31,"THETA
                  


                  Theta Token","$
              
              4.94",$4.9361 B,$223.8 M,$10.250 M,$15.71,0.18%,0.53%,
31,32,"BCHA
                  


                  Bitcoin Cash ABC","$
              
              258.79",$4.8637 B,$534.4 M,$6.2930 K,$380.05,0.01%,10.33%,
32,33,"CAKE
                  


                  PancakeSwap","$
              
              19.35",$4.3801 B,$165.3 M,$5.9706 M,$44.14,0.48%,4.47%,
33,34,"OKB
                  


                  OKB","$
              
              16.39",$4.3448 B,$720.7 M,$1.1359 M,$44.24,0.58%,13.98%,
34,35,"XMR
                  


                  Monero","$
              
              237.92",$4.2830 B,$158.4 M,$25.189 M,$516.84,0.41%,0.67%,
35,36,"AXS
                  


                  Axie Infinity","$
              
              73.36",$4.2477 B,$340.9 M,$11.032 M,$93.87,3.64%,7.62%,
36,37,"SHIB
                  


                  Shiba Inu","$
              
              0.00000711",$4.1938 B,$174.1 M,$14.383 M,$0.000038,0.11%,1.51%,
37,38,"EGLD
                  


                  Elrond","$
              
              211.21",$4.1859 B,$165.2 M,$8.7783 M,$299.97,0.1%,1.98%,
38,39,"CRO
                  


                  Crypto.com Chain","$
              
              0.152683",$3.8572 B,$28.92 M,$20.426 M,$0.284970,0.31%,0.56%,
39,40,"EOS
                  


                  EOS","$
              
              3.83",$3.7108 B,$563.3 M,$74.938 M,$23.96,0.22%,1.1%,
40,41,"AAVE
                  


                  Aave","$
              
              274.96",$3.6265 B,$171.3 M,$25.099 M,$663.22,0.13%,0.84%,
41,42,"QNT
                  


                  Quant","$
              
              287.52",$3.4711 B,$53.16 M,$3.2496 M,$427.17,0.33%,2.9%,
42,43,"NEAR
                  


                  NEAR Protocol","$
              
              7.10",$3.3342 B,$138.4 M,$3.9782 M,$11.50,0.83%,2.01%,
43,44,"HBAR
                  


                  Hedera Hashgraph","$
              
              0.321865",$3.3116 B,$122.1 M,$6.0423 M,$0.569399,0.47%,0.96%,
44,45,"GRT
                  


                  The Graph","$
              
              0.659716",$3.2701 B,$67.00 M,$7.0661 M,$2.89,0.72%,0.48%,
45,46,"MIOTA
                  


                  IOTA","$
              
              1.09",$3.0264 B,$67.39 M,$7.2071 M,$5.64,0.77%,4.06%,
46,47,"NEO
                  


                  NEO","$
              
              38.73",$2.7962 B,$267.9 M,$20.110 M,$195.51,1.25%,1.2%,
47,48,"KSM
                  


                  Kusama","$
              
              337.10",$2.7313 B,$121.2 M,$6.2551 M,$623.71,0.28%,0.62%,
48,49,"KLAY
                  


                  Klaytn","$
              
              1.08",$2.7053 B,$18.90 M,$1.8725 M,$4.45,0.96%,1.23%,
49,50,"UST
                  


                  TerraUSD","$
              
              1.00",$2.6823 B,$151.3 M,$23.871 M,$1.03,0.46%,0.08%,
